日干支,时干支,值日经,主穴,原穴,今日互用穴,补充穴位,空间穴位
甲子,甲子,肾,无,无,阳辅,无,神门|太溪|大陵|关冲|中冲
甲子,乙丑,肾,行间,无,无,无,神门|太溪|大陵|关冲|中冲
甲子,丙寅,肾,无,无,小海,无,神门|太溪|大陵|关冲|中冲
甲子,丁卯,肾,神门,太溪|大陵,无,无,神门|太溪|大陵|关冲|中冲
甲子,戊辰,肾,无,无,支沟,无,神门|太溪|大陵|关冲|中冲
甲子,己巳,肾,商丘,无,无,隐白,神门|太溪|大陵|关冲|中冲
甲子,庚午,肾,无,无,无,无,神门|太溪|大陵|关冲|中冲
甲子,辛未,肾,尺泽,无,无,鱼际,神门|太溪|大陵|关冲|中冲
甲子,壬申,肾,无,无,无,无,神门|太溪|大陵|关冲|中冲
甲子,癸酉,肾,中冲,无,无,太溪,神门|太溪|大陵|关冲|中冲
甲子,甲戌,胆,足窍阴,无,无,无,陷谷|丘墟|中冲|液门
甲子,乙亥,胆,无,无,中封,无,陷谷|丘墟|中冲|液门
甲戌,甲子,肾,无,无,阳辅,无,神门|太溪|大陵|关冲|中冲
甲戌,乙丑,肾,行间,无,无,无,神门|太溪|大陵|关冲|中冲
甲戌,丙寅,肾,无,无,小海,无,神门|太溪|大陵|关冲|中冲
甲戌,丁卯,肾,神门,太溪|大陵,无,无,神门|太溪|大陵|关冲|中冲
甲戌,戊辰,肾,无,无,支沟,无,神门|太溪|大陵|关冲|中冲
甲戌,己巳,肾,商丘,无,无,隐白,神门|太溪|大陵|关冲|中冲
甲戌,庚午,肾,无,无,无,无,神门|太溪|大陵|关冲|中冲
甲戌,辛未,肾,尺泽,无,无,鱼际,神门|太溪|大陵|关冲|中冲
甲戌,壬申,肾,无,无,无,无,神门|太溪|大陵|关冲|中冲
甲戌,癸酉,肾,中冲,无,无,太溪,神门|太溪|大陵|关冲|中冲
甲戌,甲戌,胆,足窍阴,无,无,无,陷谷|丘墟|中冲|液门
甲戌,乙亥,胆,无,无,中封,无,陷谷|丘墟|中冲|液门
甲申,甲子,肾,无,无,阳辅,无,神门|太溪|大陵|关冲|中冲
甲申,乙丑,肾,行间,无,无,无,神门|太溪|大陵|关冲|中冲
甲申,丙寅,肾,无,无,小海,无,神门|太溪|大陵|关冲|中冲
甲申,丁卯,肾,神门,太溪|大陵,无,无,神门|太溪|大陵|关冲|中冲
甲申,戊辰,肾,无,无,支沟,无,神门|太溪|大陵|关冲|中冲
甲申,己巳,肾,商丘,无,无,隐白,神门|太溪|大陵|关冲|中冲
甲申,庚午,肾,无,无,无,无,神门|太溪|大陵|关冲|中冲
甲申,辛未,肾,尺泽,无,无,鱼际,神门|太溪|大陵|关冲|中冲
甲申,壬申,肾,无,无,无,无,神门|太溪|大陵|关冲|中冲
甲申,癸酉,肾,中冲,无,无,太溪,神门|太溪|大陵|关冲|中冲
甲申,甲戌,胆,足窍阴,无,无,无,陷谷|丘墟|中冲|液门
甲申,乙亥,胆,无,无,中封,无,陷谷|丘墟|中冲|液门
甲午,甲子,肾,无,无,阳辅,无,神门|太溪|大陵|关冲|中冲
甲午,乙丑,肾,行间,无,无,无,神门|太溪|大陵|关冲|中冲
甲午,丙寅,肾,无,无,小海,无,神门|太溪|大陵|关冲|中冲
甲午,丁卯,肾,神门,太溪|大陵,无,无,神门|太溪|大陵|关冲|中冲
甲午,戊辰,肾,无,无,支沟,无,神门|太溪|大陵|关冲|中冲
甲午,己巳,肾,商丘,无,无,隐白,神门|太溪|大陵|关冲|中冲
甲午,庚午,肾,无,无,无,无,神门|太溪|大陵|关冲|中冲
甲午,辛未,肾,尺泽,无,无,鱼际,神门|太溪|大陵|关冲|中冲
甲午,壬申,肾,无,无,无,无,神门|太溪|大陵|关冲|中冲
甲午,癸酉,肾,中冲,无,无,太溪,神门|太溪|大陵|关冲|中冲
甲午,甲戌,胆,足窍阴,无,无,无,陷谷|丘墟|中冲|液门
甲午,乙亥,胆,无,无,中封,无,陷谷|丘墟|中冲|液门
甲辰,甲子,肾,无,无,阳辅,无,神门|太溪|大陵|关冲|中冲
甲辰,乙丑,肾,行间,无,无,无,神门|太溪|大陵|关冲|中冲
甲辰,丙寅,肾,无,无,小海,无,神门|太溪|大陵|关冲|中冲
甲辰,丁卯,肾,神门,太溪|大陵,无,无,神门|太溪|大陵|关冲|中冲
甲辰,戊辰,肾,无,无,支沟,无,神门|太溪|大陵|关冲|中冲
甲辰,己巳,肾,商丘,无,无,隐白,神门|太溪|大陵|关冲|中冲
甲辰,庚午,肾,无,无,无,无,神门|太溪|大陵|关冲|中冲
甲辰,辛未,肾,尺泽,无,无,鱼际,神门|太溪|大陵|关冲|中冲
甲辰,壬申,肾,无,无,无,无,神门|太溪|大陵|关冲|中冲
甲辰,癸酉,肾,中冲,无,无,太溪,神门|太溪|大陵|关冲|中冲
甲辰,甲戌,胆,足窍阴,无,无,无,陷谷|丘墟|中冲|液门
甲辰,乙亥,胆,无,无,中封,无,陷谷|丘墟|中冲|液门
甲寅,甲子,肾,无,无,阳辅,无,神门|太溪|大陵|关冲|中冲
甲寅,乙丑,肾,行间,无,无,无,神门|太溪|大陵|关冲|中冲
甲寅,丙寅,肾,无,无,小海,无,神门|太溪|大陵|关冲|中冲
甲寅,丁卯,肾,神门,太溪|大陵,无,无,神门|太溪|大陵|关冲|中冲
甲寅,戊辰,肾,无,无,支沟,无,神门|太溪|大陵|关冲|中冲
甲寅,己巳,肾,商丘,无,无,隐白,神门|太溪|大陵|关冲|中冲
甲寅,庚午,肾,无,无,无,无,神门|太溪|大陵|关冲|中冲
甲寅,辛未,肾,尺泽,无,无,鱼际,神门|太溪|大陵|关冲|中冲
甲寅,壬申,肾,无,无,无,无,神门|太溪|大陵|关冲|中冲
甲寅,癸酉,肾,中冲,无,无,太溪,神门|太溪|大陵|关冲|中冲
甲寅,甲戌,胆,足窍阴,无,无,无,陷谷|丘墟|中冲|液门
甲寅,乙亥,胆,无,无,中封,无,陷谷|丘墟|中冲|液门
乙丑,丙子,胆,前谷,无,无,无,陷谷|丘墟|中冲|液门
乙丑,丁丑,胆,无,无,少海,无,陷谷|丘墟|中冲|液门
乙丑,戊寅,胆,陷谷,丘墟,无,无,陷谷|丘墟|中冲|液门
乙丑,己卯,胆,无,无,间使,无,陷谷|丘墟|中冲|液门
乙丑,庚辰,胆,阳溪,无,商阳,无,陷谷|丘墟|中冲|液门
